feature,coef_per_1sd
distance_km_log,2.359433958826063
total_weight_kg,0.45848327205496003
seller_count,-0.36232996215971086
item_count,-0.22817477145234855
total_volume_l,0.15039117261362514
total_price_brl,0.06437542764471506
total_freight_brl,-0.056959574695252334
purchase_hour,-0.017246073931240922
